name | name
Roger | Jack
Evelyn | Larry
Ernest | Berthold
Kathryn | Danielle
Evelyn | Melissa
Madison | James
Russell | Philip
Kimberly | Jacqueline
Bobby | Doris
Victoria | Anna
id | abbreviation | full_name | city
1 | ORD | O'Hare International Airport | Chicago
2 | PEK | Beijing Capital International Airport | Beijing
3 | LAX | Los Angeles International Airport | Los Angeles
4 | LHR | Heathrow Airport | London
5 | DFS | Dallas/Fort Worth International Airport | Dallas
6 | BOS | Logan International Airport | Boston
7 | DXB | Dubai International Airport | Dubai
8 | CSF | Fiftyville Regional Airport | Fiftyville
9 | HND | Tokyo International Airport | Tokyo
10 | CDG | Charles de Gaulle Airport | Paris
11 | SFO | San Francisco International Airport | San Francisco
12 | DEL | Indira Gandhi International Airport | Delhi
flight_id | passport_number | seat | id | origin_airport_id | destination_airport_id | year | month | day | hour | minute | id | name | phone_number | passport_number | license_plate
23 | 4195341387 | 3A | 23 | 8 | 11 | 2020 | 7 | 29 | 12 | 15 | 619074 | Matthew |  | 4195341387 | 31GVT84
23 | 6263461050 | 4A | 23 | 8 | 11 | 2020 | 7 | 29 | 12 | 15 | 788213 | Emily | (406) 555-4440 | 6263461050 | Y340743
23 | 3231999695 | 5A | 23 | 8 | 11 | 2020 | 7 | 29 | 12 | 15 | 757606 | Douglas | (491) 555-2505 | 3231999695 | 1FW4EUJ
23 | 7951366683 | 6B | 23 | 8 | 11 | 2020 | 7 | 29 | 12 | 15 | 210245 | Jordan | (328) 555-9658 | 7951366683 | HW0488P
53 | 7894166154 | 9B | 53 | 8 | 9 | 2020 | 7 | 29 | 15 | 20 | 710572 | Richard |  | 7894166154 | 20Q418R
53 | 6034823042 | 2C | 53 | 8 | 9 | 2020 | 7 | 29 | 15 | 20 | 660982 | Thomas | (286) 555-0131 | 6034823042 | WD5M8I6
53 | 4408372428 | 3D | 53 | 8 | 9 | 2020 | 7 | 29 | 15 | 20 | 458378 | Roy | (122) 555-4581 | 4408372428 | QX4YZN3
53 | 2312901747 | 4D | 53 | 8 | 9 | 2020 | 7 | 29 | 15 | 20 | 251693 | Larry | (892) 555-8872 | 2312901747 | O268ZZ0
53 | 1151340634 | 5A | 53 | 8 | 9 | 2020 | 7 | 29 | 15 | 20 | 676919 | Steven | (195) 555-4173 | 1151340634 | 5VFD6G0
53 | 8174538026 | 6D | 53 | 8 | 9 | 2020 | 7 | 29 | 15 | 20 | 677698 | John | (016) 555-9166 | 8174538026 | 4468KVT
53 | 1050247273 | 7A | 53 | 8 | 9 | 2020 | 7 | 29 | 15 | 20 | 205082 | Pamela | (113) 555-7544 | 1050247273 | 5CIO816
53 | 7834357192 | 8C | 53 | 8 | 9 | 2020 | 7 | 29 | 15 | 20 | 626361 | Melissa | (717) 555-1342 | 7834357192 | 
18 | 2835165196 | 9C | 18 | 8 | 6 | 2020 | 7 | 29 | 16 | 0 | 788911 | Gloria | (973) 555-3809 | 2835165196 | O010420
18 | 6131360461 | 2C | 18 | 8 | 6 | 2020 | 7 | 29 | 16 | 0 | 253397 | Diana | (918) 555-2946 | 6131360461 | P743G7C
18 | 3231999695 | 3C | 18 | 8 | 6 | 2020 | 7 | 29 | 16 | 0 | 757606 | Douglas | (491) 555-2505 | 3231999695 | 1FW4EUJ
18 | 3592750733 | 4C | 18 | 8 | 6 | 2020 | 7 | 29 | 16 | 0 | 514354 | Russell | (770) 555-1861 | 3592750733 | 322W7JE
18 | 2626335085 | 5D | 18 | 8 | 6 | 2020 | 7 | 29 | 16 | 0 | 952462 | Christian |  | 2626335085 | 6CV51G1
18 | 6117294637 | 6B | 18 | 8 | 6 | 2020 | 7 | 29 | 16 | 0 | 542503 | Michael | (529) 555-7276 | 6117294637 | HOD8639
18 | 2996517496 | 7A | 18 | 8 | 6 | 2020 | 7 | 29 | 16 | 0 | 682850 | Ethan | (594) 555-6254 | 2996517496 | NAW9653
18 | 3915621712 | 8D | 18 | 8 | 6 | 2020 | 7 | 29 | 16 | 0 | 769190 | Charles | (427) 555-0556 | 3915621712 | R12SA4D
